NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		39	0.4367903	1.321286	0.07977737	0.39858934	1.0	1152	tags=41%, list=18%, signal=50%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM		18	0.5196589	1.3076488	0.13142857	0.41645592	1.0	1287	tags=50%, list=21%, signal=63%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		18	0.5018514	1.3052781	0.14421253	0.4049864	1.0	357	tags=17%, list=6%, signal=18%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		61	0.39685962	1.2709624	0.12369338	0.47741875	1.0	920	tags=21%, list=15%, signal=25%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE		23	0.4732335	1.2500502	0.17537314	0.514043	1.0	504	tags=26%, list=8%, signal=28%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS		33	0.42406332	1.2406095	0.16819012	0.5190238	1.0	504	tags=18%, list=8%, signal=20%	
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION		23	0.45826545	1.2312788	0.18199609	0.5249304	1.0	504	tags=26%, list=8%, signal=28%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		69	0.36894697	1.2206559	0.14104882	0.53677756	1.0	934	tags=26%, list=15%, signal=30%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		51	0.38712278	1.215459	0.16058394	0.53333473	1.0	934	tags=27%, list=15%, signal=32%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		35	0.41421852	1.198794	0.21497121	0.5622575	1.0	1598	tags=49%, list=26%, signal=65%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		27	0.42818776	1.1937294	0.2210145	0.5591028	1.0	814	tags=26%, list=13%, signal=30%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		30	0.41290882	1.1789722	0.2413793	0.585521	1.0	971	tags=23%, list=16%, signal=27%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		37	0.39354318	1.1647168	0.23519164	0.6076293	1.0	1274	tags=35%, list=20%, signal=44%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		26	0.42040262	1.1610962	0.27728087	0.59950244	1.0	556	tags=27%, list=9%, signal=29%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		117	0.3202413	1.1499459	0.19789842	0.61226577	1.0	934	tags=24%, list=15%, signal=28%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION		50	0.36798102	1.1459093	0.26666668	0.60691553	1.0	593	tags=22%, list=9%, signal=24%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION		22	0.43855527	1.144735	0.28	0.5941591	1.0	918	tags=36%, list=15%, signal=42%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		86	0.3167699	1.1081085	0.27482268	0.68298966	1.0	2036	tags=48%, list=33%, signal=70%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		28	0.39186186	1.0981984	0.3056058	0.69570255	1.0	1126	tags=39%, list=18%, signal=48%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		25	0.4014758	1.094682	0.3244207	0.6894424	1.0	971	tags=24%, list=16%, signal=28%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		19	0.42448223	1.0894343	0.34615386	0.68812144	1.0	1446	tags=53%, list=23%, signal=68%	
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION		37	0.3653002	1.0873817	0.33973128	0.6776159	1.0	1212	tags=32%, list=19%, signal=40%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		206	0.27970687	1.070621	0.2885246	0.7102018	1.0	938	tags=21%, list=15%, signal=24%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM		25	0.38999456	1.0679592	0.35897437	0.70196164	1.0	1126	tags=28%, list=18%, signal=34%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		19	0.4187453	1.0612307	0.35120147	0.70579255	1.0	469	tags=21%, list=8%, signal=23%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		100	0.3079348	1.0604836	0.32287824	0.69307345	1.0	1920	tags=50%, list=31%, signal=71%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS		38	0.3523598	1.058946	0.3452594	0.68302804	1.0	647	tags=18%, list=10%, signal=20%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS		27	0.3828874	1.0488943	0.38602942	0.69584453	1.0	504	tags=19%, list=8%, signal=20%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		18	0.4034335	1.0421708	0.41482967	0.701201	1.0	791	tags=22%, list=13%, signal=25%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		91	0.2984918	1.0359913	0.37351444	0.7059994	1.0	1027	tags=23%, list=16%, signal=27%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		32	0.3578803	1.0182034	0.4257603	0.7427031	1.0	556	tags=25%, list=9%, signal=27%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		23	0.38471985	1.0161549	0.43542436	0.73427033	1.0	918	tags=35%, list=15%, signal=41%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER		63	0.30812952	1.0033312	0.44722718	0.75599164	1.0	918	tags=21%, list=15%, signal=24%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		39	0.3360793	0.99710983	0.4580292	0.75947946	1.0	1212	tags=23%, list=19%, signal=28%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		23	0.364952	0.9790316	0.49162012	0.7952017	1.0	1812	tags=35%, list=29%, signal=49%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		24	0.36097515	0.97557586	0.49615383	0.79097533	1.0	694	tags=17%, list=11%, signal=19%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		55	0.30057338	0.96049875	0.5133779	0.8206978	1.0	261	tags=9%, list=4%, signal=9%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		46	0.3116734	0.9582067	0.50526315	0.81360495	1.0	340	tags=13%, list=5%, signal=14%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		55	0.29866117	0.9556038	0.5354059	0.8073972	1.0	320	tags=9%, list=5%, signal=9%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		42	0.3124264	0.9503905	0.53095686	0.8075246	1.0	401	tags=12%, list=6%, signal=13%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		18	0.377268	0.9466689	0.5523466	0.80455226	1.0	522	tags=17%, list=8%, signal=18%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME		88	0.2762481	0.9451589	0.5887681	0.7955475	1.0	1650	tags=31%, list=26%, signal=41%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY		87	0.27310318	0.9371802	0.5762712	0.8027517	1.0	337	tags=10%, list=5%, signal=11%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		18	0.37471154	0.936495	0.544592	0.79191965	1.0	785	tags=22%, list=13%, signal=25%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		49	0.3012117	0.9344522	0.5597015	0.7852488	1.0	1212	tags=29%, list=19%, signal=35%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		26	0.3413551	0.93117166	0.5451264	0.78191787	1.0	1313	tags=27%, list=21%, signal=34%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		23	0.34745917	0.92820203	0.556391	0.7778897	1.0	1274	tags=30%, list=20%, signal=38%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		22	0.3550686	0.9248335	0.575188	0.775297	1.0	547	tags=18%, list=9%, signal=20%	
KEGG_MELANOMA	KEGG_MELANOMA		42	0.31047752	0.9212045	0.61824954	0.77249056	1.0	934	tags=26%, list=15%, signal=31%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		57	0.28419077	0.9010722	0.6397942	0.80810475	1.0	934	tags=21%, list=15%, signal=25%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		21	0.33800262	0.89686966	0.61494255	0.8065328	1.0	1452	tags=43%, list=23%, signal=56%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE		22	0.33627808	0.8936726	0.6003788	0.8028864	1.0	504	tags=23%, list=8%, signal=25%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION		25	0.33042827	0.8935823	0.63919413	0.79230356	1.0	2064	tags=48%, list=33%, signal=71%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		58	0.27397996	0.8901385	0.6702317	0.7891515	1.0	942	tags=26%, list=15%, signal=30%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		24	0.32779062	0.8815028	0.62620425	0.7990943	1.0	1704	tags=42%, list=27%, signal=57%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY		77	0.25817287	0.87908536	0.70740104	0.7938596	1.0	1212	tags=27%, list=19%, signal=33%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		23	0.32377392	0.8742816	0.63809526	0.7943892	1.0	1513	tags=30%, list=24%, signal=40%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		82	0.25725862	0.872055	0.7061947	0.78918934	1.0	934	tags=22%, list=15%, signal=25%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		46	0.2814019	0.8706749	0.6960432	0.782049	1.0	1856	tags=35%, list=30%, signal=49%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		44	0.2695273	0.836741	0.7571942	0.8416175	1.0	908	tags=25%, list=15%, signal=29%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		16	0.32558292	0.79743946	0.738574	0.8992074	1.0	798	tags=25%, list=13%, signal=29%	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		65	0.23709792	0.77594066	0.89194137	0.9226418	1.0	968	tags=17%, list=15%, signal=20%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		59	0.23443395	0.7533194	0.89285713	0.9424965	1.0	1014	tags=22%, list=16%, signal=26%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		39	0.25188226	0.7525782	0.85907334	0.932422	1.0	798	tags=18%, list=13%, signal=20%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY		83	0.21608886	0.7363329	0.9411765	0.94126445	1.0	1049	tags=18%, list=17%, signal=21%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		24	0.27517733	0.7348429	0.8468809	0.93212795	1.0	971	tags=17%, list=16%, signal=20%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		38	0.24398896	0.72910845	0.8943534	0.92786	1.0	110	tags=5%, list=2%, signal=5%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER		53	0.22940794	0.7142248	0.9376114	0.93286365	1.0	1424	tags=26%, list=23%, signal=34%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM		18	0.27560556	0.7133298	0.84023666	0.923252	1.0	481	tags=11%, list=8%, signal=12%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA		48	0.21112561	0.65816253	0.97282606	0.9540921	1.0	1355	tags=29%, list=22%, signal=37%	
